Copy,Scale,Add,Triad,replication,repetition
11281974,11230837,16792877,16685464,0,0
11289517,11238840,16765398,16676425,1,0
11280752,11273503,16782997,16769506,2,0
11299176,11291597,16753859,16629924,3,0
11281651,11297950,16717814,16747151,4,0
11280044,11288225,16815084,16739381,5,0
11242765,11236076,16684568,16569811,6,0
11232487,11245153,16678297,16701526,7,0
11212481,11228150,16765242,16708119,8,0
11223911,11222697,16647416,16560079,9,0
11247095,11325161,16732378,16689432,10,0
11233726,11322730,16720395,16811114,11,0
25856959,25888256,16700955,16678982,12,0
11337010,11308206,16683939,16805466,13,0
11222767,11205206,16739550,16801691,14,0
11247697,11198031,33081746,33194281,15,0
11296928,11296667,33095294,33213631,16,0
11276226,11262055,33080533,33207944,17,0
11235968,11245832,33058003,33204881,18,0
11215103,11238501,33041680,33199267,19,0
11278698,11208902,33052962,33332600,20,0
11238047,11202647,33003415,33189220,21,0
11320905,11262432,33021704,33189452,22,0
11296050,11327444,33096173,33316230,23,0
11220615,11258760,32986408,33172254,24,0
11221319,11251992,33033547,33303228,25,0
11225055,11199652,33081890,33298275,26,0
11235613,11228873,32925583,33155022,27,0
11257204,11324239,32995586,33284781,28,0
11214835,11337987,33137171,33315799,29,0
11261611,11238465,49278819,49603516,30,0
11276452,11237106,49274914,49608422,31,0
11234706,11216308,16752988,16766377,0,1
11201612,11209035,16758860,16736184,1,1
11190907,11202993,16745299,16785944,2,1
11183006,11199573,16690761,16689574,3,1
11169839,11195837,16681452,16673398,4,1
11159212,11192917,16707506,16729917,5,1
11145336,11188887,16651763,16628796,6,1
11136031,11185305,16665793,16702065,7,1
11129666,11175277,16716884,16712633,8,1
11113577,11172185,16616020,16605151,9,1
11109769,11174760,16616437,16678466,10,1
11101562,11172144,16676025,16721523,11,1
11154973,11169710,16634591,16666066,12,1
11150202,11165262,16663829,16661956,13,1
11132577,11160886,16700390,16785980,14,1
22138035,22156122,33067869,33128081,15,1
22148810,22178426,33072758,33147060,16,1
22143445,22176126,33062769,33139436,17,1
22131512,22168878,33052005,33130751,18,1
22120460,22166668,33040813,33123715,19,1
22108378,22161139,33111557,33161719,20,1
22097507,22157532,33016313,33106513,21,1
22086603,22167070,33007761,33151940,22,1
22076923,22164615,33100103,33191990,23,1
22066587,22157551,32984159,33075784,24,1
22055478,22162125,33063629,33124905,25,1
22045365,22154634,33275934,33182141,26,1
22034865,22159251,33040186,33105659,27,1
22022498,22152489,33037673,33156532,28,1
22097265,22150268,33247307,33310151,29,1
32884697,33107991,49454301,49504306,30,1
32880605,33123221,49465431,49519540,31,1
11235207,11230347,16842006,16782247,0,2
11170599,11232502,16821570,16762197,1,2
11138797,11228726,16829164,16791092,2,2
11108377,11226139,16797555,16731246,3,2
11084982,11222157,16789155,16719281,4,2
11049349,11218605,16794518,16760848,5,2
11017682,11216880,16768219,16692915,6,2
11056580,11213960,16762548,16683779,7,2
11073052,11211533,16771095,16721805,8,2
11038517,11207973,16735510,16647037,9,2
