Copy,Scale,Add,Triad,replication,repetition
11233054,11199372,16677142,16670050,0,0
11221157,11144170,16655559,16671006,16,0
11181483,11240468,16699022,16829394,1,0
11195539,11178768,16729197,16828059,17,0
11246471,11295362,16747777,16823752,2,0
11255851,11236153,16565231,16641733,18,0
11207774,11215523,16536072,16635611,3,0
11198994,11163554,16667336,16802685,19,0
11238164,11254432,16641023,16798259,4,0
11241967,11173181,16724652,16906894,20,0
11180550,11295766,16743371,16904476,5,0
11175673,11231370,16561212,16776879,21,0
11143281,11135515,16574875,16776310,6,0
11112389,11105123,16624329,16771763,22,0
11284023,11276141,16682871,16767347,7,0
11265246,11169160,32859908,33297056,23,0
11256244,11143142,32877935,33296743,8,0
11237438,11034251,32801809,33288580,24,0
11228823,11160228,32777661,33280691,9,0
11194641,11086702,32804730,33274008,25,0
11242820,11253535,32826203,33267780,10,0
11224800,11207847,32925766,33305461,26,0
11168904,11290327,32949537,33303966,11,0
11124799,11081915,32759216,33243326,27,0
31256338,30962703,32801905,33236565,12,0
11265093,11296788,32825436,33230053,28,0
11349413,11162857,32848122,33272280,13,0
11306909,11074193,32914401,33265837,29,0
11200344,11199872,32934537,33293322,14,0
11175610,11036639,32780462,33197342,30,0
11160816,11233431,49015733,49646237,15,0
11164358,11193203,49136675,49801116,31,0
11323456,11319838,16702175,16711723,0,1
11288277,11314674,16688014,16711552,16,1
11268126,11309919,16683971,16708984,1,1
11244593,11304672,16754877,3332164069,17,1
11226271,11299307,16756335,3332185867,2,1
11210186,11292554,16667500,16696153,18,1
11195150,11288100,16660754,16694153,3,1
11229615,11282101,16735445,3332172430,19,1
11214038,11274152,16730761,3332167145,4,1
11195032,11287552,16777865,3332163464,20,1
11178672,11280327,16776406,3332158091,5,1
11159750,11250454,16627059,16668036,21,1
11142989,11260987,16705012,16666678,6,1
11128482,11255922,16697412,3332143902,22,1
11111244,11247824,16690617,3332140108,7,1
22051546,22150033,33259573,3332137160,23,1
22042220,22149984,33260723,3332133206,8,1
22025257,22142406,33255268,3332129743,24,1
22007810,22135545,33249024,3332126468,9,1
21991603,22128677,33242187,3332123514,25,1
21974561,22121679,33233830,3332120219,10,1
21959520,22114958,33274730,3332114317,26,1
22001575,22109119,33270329,3348580098,11,1
21927748,22102778,33213743,3348505076,27,1
21974965,22095407,33258328,3348503721,12,1
21959218,22087531,33252744,3348552629,28,1
21946085,22080798,33249041,3348548481,13,1
21928731,22073735,33287860,3348597072,29,1
21912166,22067049,33286547,3348632703,14,1
21896408,22060910,33232956,3348469487,30,1
32845280,33102747,49680732,3348465273,15,1
32849237,33102064,49682991,3348570083,31,1
11351295,11165418,16563528,16817125,0,2
11336726,11146282,16628508,16822225,16,2
11328771,11133536,16631421,16811345,1,2
11310309,11122143,16723534,16809663,17,2
11303052,11108921,16760075,16801126,2,2
11293645,11088707,16617178,16775608,18,2
11282586,11085221,16613256,16753631,3,2
11277868,11120131,16694586,16763801,19,2
11266579,11122771,16692136,16746296,4,2
11267612,11119177,16743159,16785352,20,2
11259362,11113804,16812143,16787385,5,2
11248196,11108494,16678257,16734482,21,2
11238075,11105336,16674770,16731388,6,2
11229854,11139284,16724411,16775964,22,2
11219675,11140874,16755739,16771996,7,2
22106495,22181452,33270648,33203596,23,2
22102641,22186396,33310057,33209875,8,2
22090550,22179347,33283068,33137242,24,2
22078753,22172974,33281879,33136246,9,2
22067232,22166684,33280582,33194699,25,2
22065398,22163121,33296594,33190083,10,2
22054829,22157255,33338604,33229825,26,2
22045018,22151545,33340220,33230386,11,2
22033585,22142842,33262653,33108604,27,2
22023030,22134721,33278906,33173884,12,2
22014480,22127757,33324675,33216849,28,2
22005262,22123701,33320782,33282257,13,2
22037350,22121513,33358486,33351512,29,2
22032904,22115273,33359949,33351869,14,2
21973599,22100951,33308551,33191342,30,2
32975065,33014346,49720817,49671687,15,2
32987390,33017044,49741745,49673887,31,2
11352910,11325401,16710362,16826265,0,3
11312131,11320682,16666297,16825704,16,3
11300654,11316909,16645748,16823655,1,3
11287962,11313425,16737419,16829391,17,3
11274750,11308718,16739575,16878380,2,3
11263183,11305485,16631873,16809761,18,3
11252871,11299454,16627484,16807271,3,3
11231989,11294003,16711457,16809318,19,3
11220338,11289494,16709207,16807053,4,3
11207140,11285212,16755920,16857129,20,3
11196968,11279673,16757614,16853325,5,3
11180579,11274980,16599589,16779666,21,3
11168210,11269720,16687180,16777734,6,3
11156884,11265159,16732763,16782710,22,3
11144191,11259934,16729379,16835147,7,3
22076447,22219822,33268604,33320444,23,3
22072155,22233344,33414485,33336233,8,3
22061692,22229015,33247758,33340748,24,3
22048808,22224669,33251294,33342438,9,3
22035897,22220430,33266512,33339550,25,3
22025857,22215311,33263547,33336278,10,3
22015367,22210675,33398740,33345187,26,3
22004124,22206758,33393682,33342797,11,3
21994101,22200833,33226952,33322892,27,3
21983837,22196200,33383236,33320725,12,3
21972873,22191086,33376095,33318508,28,3
21960958,22196692,33369730,33324961,13,3
21991920,22190116,33364150,33366657,29,3
21983547,22184657,33397010,33365531,14,3
21928171,22178596,33351995,33295559,30,3
33028858,33168632,49713963,49776861,15,3
33039026,33179434,49729322,49779447,31,3
11377107,11329908,16746359,16860757,0,4
